National_Park_Unit,Latitude,Longitude,Attendance_1990,Attendance_1995,Attendance_2000,Attendance_2005,Attendance_2010,Attendance_2015,Attendance_2020
Apostle Islands National Lakeshore,46.965278,-90.664167,140980,167909,181760,175245,156945,232662,219009
Saint Croix National Scenic River,45.389167,-92.6575,489274,458525,369736,521695,188400,623122,798622
River Rasin National Battlefield,41.913611,-83.378333,0,0,0,0,0,109118,309977
Sleeping Bear Dunes National Lakeshore,44.725832,-86.08426,1216870,1151957,1195084,1222313,1280932,1535633,1718696
Pictured Rocks National Lakeshore,46.533284,-86.488221,561973,462687,422683,476888,499281,723178,1212251
Keweenaw National Historic Park,47.242414,-88.447973,0,0,0,0,0,14612,2130
Isle Royale National Park,48.002063,-88.841105,23495,23470,21096,17398,15793,18684,6493
Grand Portage National Monument,47.962319,-89.684767,72250,75810,92914,62842,113996,91751,66426
Voyaguers National Park,48.5,-92.883333,223554,210938,227371,234577,253891,238313,263091
Pipestone National Monument,44.013333,-96.325,106623,104007,92391,69820,78108,70748,38229
Mississippi National River & Recreation Area,44.8733,-93.018826,0,0,0,0,99398,127635,204707
Knife River Indian Villages National Historic Site,47.352935,-101.383954,12534,17116,33048,31079,21721,11377,5263
Theodore Roosevelt National Park,47.239736,-103.623346,460718,460699,431813,493198,623748,580033,551303
Fort Union Trading Post National Historic Site,47.999444,-104.040556,32222,20406,19381,16940,14458,13605,5225
Missouri National Recreation River,42.8625,-97.392778,0,0,0,63557,167301,145004,111602
Minuteman Missle National Historic Site,43.931621,-102.159245,0,0,0,7800,42348,100488,98908
Badlands National Park ,43.817928,-102.360981,1326475,1075569,1105824,909146,977778,989354,916932
Wind Cave National Park,43.556539,-103.4783,586464,805688,668507,612478,577141,612198,448405
Mount Rushmore National Memorial,43.87582,-103.453838,1671673,1687529,1868876,2037861,2331237,2434297,2074986
Jewel Cave National Monument,43.72992,-103.829394,137316,154688,128960,102318,103462,116444,35878
